,time,education,difficulty
1420,4499.235,5.0,5.0
1421,,,
1422,8374.599,5.0,5.0
1423,,,
1424,,,
1425,,,
1426,,,
1427,,,
1428,,,
1429,,,
1430,31.057,,
1431,480.635,,
1432,132.821,,
1433,39.292,,
1434,79.434,,
1435,25.155,,
1436,878.393,,
1437,707.947,,
1438,559.804,,
1439,188.472,,
1440,1742.56,,
1441,338.781,,
1442,333.92,,
1443,303.82099999999997,,
1444,,,
1445,2585.067,,
1446,1031.4180000000001,,
1447,1805.9720000000002,,
1448,518.116,,
1449,841.171,,
1450,,,
1451,646.317,,
1452,308.86400000000003,,
1453,3594.013,,
1454,450.246,,
1455,141.244,,
1456,141.7,,
1457,33.34,,
1458,91.64,,
1459,629.351,,
1460,949.112,,
1461,1548.7479999999998,,
1462,386.44800000000004,,
1463,2409.117,,
1464,2210.7470000000003,,
1465,2029.819,,
1466,59.868,,
1467,270.51099999999997,,
1468,4636.04,,
